Target,Time,Path Length,Average Time,Average Path Length
Canoe tilting,8514,3,,
Canoe tilting,11196,3,,
Canoe tilting,58985,4,,
Canoe tilting,12532,3,,
Canoe tilting,30494,3,24344.2,3.2
Crane & tortise relay,66526,5,,
Crane & tortise relay,58830,4,62678,4.5
Cup stacking,6350,2,,
Cup stacking,14953,2,,
Cup stacking,3290,2,,
Cup stacking,6690,2,,
Cup stacking,1332,2,,
Cup stacking,5498,2,6352.166667,2
Fives,15091,3,,
Fives,58238,3,,
Fives,23244,3,,
Fives,16333,3,28226.5,3
Horse vaulting,19719,2,,
Horse vaulting,6563,2,,
Horse vaulting,4646,2,,
Horse vaulting,1262,2,8047.5,2
Korfball,8853,3,,
Korfball,39757,6,24305,4.5
Noodling,139986,12,,
Noodling,187693,5,,
Noodling,12484,7,113387.6667,8
Octopush,112772,5,,
Octopush,12310,6,,
Octopush,43613,5,,
Octopush,42695,6,52847.5,5.5
Pachyderm polo,26946,3,42695,3
Petanque,16134,3,,
Petanque,14708,3,15421,3
Pickleball,15002,5,,
Pickleball,4157,4,,
Pickleball,74078,4,31079,4.333333333
Skittles,13329,2,,
Skittles,3605,2,8467,2
Tchoukball,29921,6,29921,6
