Target,Time,Average time,Path Length,Average Path Length
Canoe tilting,27208,,4,
Canoe tilting,36542,,6,
Canoe tilting,59156,,5,
Canoe tilting,57553,,4,
Canoe tilting,66570,,6,
Canoe tilting,18667,,4,
Canoe tilting,44500,,5,
Canoe tilting,20129,,6,
Canoe tilting,132481,51422.88889,8,5.333333333
Cheese rolling,6540,6540,4,4
Cup stacking,37034,,4,
Cup stacking,36072,,4,
Cup stacking,128690,,7,
Cup stacking,59575,,4,
Cup stacking,74260,,5,
Cup stacking,91432,,4,
Cup stacking,111780,,5,
Cup stacking,52064,73863.375,6,4.875
Fives,11096,,4,
Fives,72534,41815,4,4
Horse vaulting,2163,,2,
Horse vaulting,6640,,3,
Horse vaulting,1860,,2,
Horse vaulting,12328,,2,
Horse vaulting,3080,,2,
Horse vaulting,2643,,2,
Horse vaulting,4636,,2,
Horse vaulting,2854,4525.5,2,2.125
Kabbadi,8702,8702,5,5
Korfball,1832,,2,
Korfball,1641,,2,
Korfball,1292,,2,
Korfball,6100,,2,
Korfball,3545,,2,
Korfball,2644,,2,
Korfball,29471,,2,
Korfball,1731,,2,
Korfball,5375,,2,
Korfball,1853,,2,
Korfball,844,5120.727273,2,2
Noodling,122406,122406,5,5
Octopush,87967,87967,4,4
Pachyderm polo,33620,,4,
Pachyderm polo,84023,58821.5,4,4
Pickleball,21263,,5,
Pickleball,233956,,9,
Pickleball,15382,,4,
Pickleball,10905,70376.5,4,5.5
Skittles,47088,,3,
Skittles,68668,,3,
Skittles,148494,,4,
Skittles,10985,,3,
Skittles,49930,,7,
Skittles,307274,,4,
Skittles,52486,97846.42857,4,4
