"Login","Class","Web Experience (year)","Time (ms)","Page Length","Link Clicked","Correct?"
"ghamel","cs2005","8","54820","4","4","Yes"
"tgram05","cs2005","8","19969","0.5","3","No"
"ianf","cs2005","6","12108","0.25","4","Yes"
"haukex","cs2005","7","45406","4","4","Yes"
"tomato","cs2005","2","10453","1","4","Yes"
"elbin","cs2005","8","95327","2","4","Yes"
"mporter","cs2005","5","174721","0.5","4","Yes"
"cml","cs2005","3","9884","0.25","4","Yes"
"jack7890","cs2005","8","51624","4","4","Yes"
"bwilson","cs2005","6","22969","2","4","Yes"
"dplourde","cs2005","8 ","49762","1","4","Yes"
"egrimes","cs2005","Since it came out","2353","0.5","1","No"
"jimmykaz","cs2005","5","30514","0.25","4","Yes"
"bets34","cs2005","5","40629","4","4","Yes"
"cgendron","cs2005","6","99530","2","5","No"
"nomad","cs2005","8","102059","1","4","Yes"
"storance","cs2005","7","14093","0.25","4","Yes"
"epotter","cs2005","10","61328","4","4","Yes"
"davej","cs2005","7","58464","2","1","No"
"rhyland","cs2005","5","150887","1","4","Yes"
"aaronm","cs2005","7","10866","0.5","4","Yes"
"wegmond","cs2005","8 years","31666","0.25","4","Yes"
"billylee","cs2005","6","28512","4","4","Yes"
"kotaro","cs2005","6","67727","2","1","No"
"jen_s","cs2005","6","38486","0.5","4","Yes"
"iushakov","cs2005","5","143939","1","5","No"
"paulina","cs2005","5","16154","0.25","4","Yes"
"beaudoin","cs2005","6","83490","4","4","Yes"
"bkilgore","cs2005","8","25813","2","4","Yes"
"jgagne","cs2005","6","28060","1","3","No"
"sheridan","cs2005","7 years","54750","0.5","5","No"
"sheridan","cs2005","7 years","2464","0.5","4","Yes"
"sheridan","cs2005","7 years","1462","0.5","3","No"
"jford","cs2005","5","18230","0.25","5","No"
"rks","cs2005","10","29366","4","4","Yes"
"coux","cs2005","7","67847","2","4","Yes"
"mis4mike","cs2005","5","40314","1","2","No"
"brianp","cs2005","7","33985","0.5","4","Yes"
"acitron","cs2005","5","12388","0.25","4","Yes"
"matthewh","cs2005","11","53792","2","4","Yes"
"nikhil","cs2005","8","22352","1","1","No"
"griffey3","cs2005","6","182063","4","4","Yes"
"jquartar","cs2005","9","30554","0.5","4","Yes"
"aklaft","cs2005","8","8240","0.25","4","Yes"
"mplunk","cs2005","4","44140","4","3","No"
"jblees","cs2005","7-8","72634","2","4","Yes"
"jlouis","cs2005","5","113784","1","4","Yes"
"","cs2005","","12038","0.5","4","Yes"
"emperor","cs2005","5","3818","0.25","4","Yes"
"ahudson","cs2005","8","35672","4","4","Yes"
"ahudson","cs2005","8","12203","4","4","Yes"
"asdonlon","cs2005","10","8593","2","4","Yes"
"John Setchell","cs2005","6","4730","1","4","Yes"
"Logo","cs2005","6","11474","0.5","4","Yes"
"abangs","cs2005","9","34990","0.25","4","Yes"
"paetzold","cs2005","13","67878","4","4","Yes"
"rybka4","cs2005","6","35703","2","4","Yes"
"dsj","cs2005","8","44629","1","4","Yes"
"j","cs2005","5","10031","0.5","4","Yes"
"stumpy29","cs2005","6","10320","0.25","4","Yes"
"chet","cs2005","6","35992","4","4","Yes"
